building_number,lab,c_desktop,c_laptop,c_server,r_domestic,r_industrial,r_other,f_industrial,f_domestic,cv_0,cv_1,cv_2,cv_3,cv_4,delta_temperature,est_1,area_sm,direct_consumption,indirect_consumption
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,1,2405,12468.55,5339.554768939537
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,1,2405,11566.03,5150.032917307701
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,1,2405,11800.86,3650.628770107457
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,1,2405,12432.62,4649.556524029954
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,1,2405,14084.1,15479.566346896512
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,2883,37323.34,0.0
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,2883,31400.99,0.0
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,2883,30622.81,184.2275741231098
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,2883,23948.81,1552.3285337617128
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,2883,28444.66,1562.379497096451
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,2883,26581.0,3420.154334176208
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,2883,29383.33,4914.10711071297
26,0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,2883,27856.74,3364.7710408198213
26,0,11,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,2883,25817.91,8706.351379760246
26,0,11,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,2883,25477.89,9091.136474042056
26,0,11,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,2883,28014.99,334.7271656118084
26,0,11,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,2883,31236.1,0.0
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,2903,19830.62,0.0
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,2903,17332.84,0.0
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,2903,18593.42,179.37758455281548
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,2903,17016.74,4282.242490766737
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,2903,15507.43,5029.965415506246
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,2903,14721.8,8589.385403173117
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,2903,27656.55,7397.367585664676
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,2903,16064.41,8828.276813672997
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,2903,16182.9,9893.279443939744
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,2903,15106.5,10244.823319654031
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,2903,17523.56,4554.921924508577
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,2903,18811.9,614.4914405850111
29,1,109,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,10.112043010752688,0,4295,85861.55,16083.606946407748
29,1,109,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,8.80095238095238,0,4295,78447.22,16511.315461053848
29,1,109,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,8.021075268817203,0,4295,86993.88,13809.853099501186
29,1,110,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,3.9639999999999986,0,4295,77298.03,11622.228769619818
29,1,110,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,4.699139784946233,0,4295,89654.63,3846.512600091066
29,1,112,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,7.152444444444441,0,4295,87487.21,15816.96802522456
29,1,113,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,8.037419354838708,0,4295,101537.37,45904.46450976954
29,1,113,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,7.056344086021507,0,4295,79497.73,8390.064995661132
29,1,113,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,4.788666666666664,0,4295,76146.17,33919.42474611264
29,1,113,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,2.0780645161290323,0,4295,73374.82,42779.01412325168
29,1,113,36.0,0.0,11.0,6.0,6.0,2.0,2.0,29,24,16,0,0,2.0913333333333313,0,4295,77281.7,14374.49605270866
29,1,113,36.0,0.0,11.0,6.0,7.0,2.0,2.0,29,24,16,0,0,7.669677419354841,0,4295,83243.98,19061.589498792004
30,0,363,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,2668,21694.04,76.29576926427353
30,0,364,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,2668,34745.32,0.0
30,0,364,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,2668,19937.21,64.17832733364688
30,0,364,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,2668,18405.76,1552.3285337617128
30,0,365,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,2668,22144.84,1562.379497096451
30,0,365,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,2668,23414.2,13538.086032865398
30,0,365,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,2668,33746.64,4914.10711071297
30,0,366,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,2668,23875.65,3364.7710408198213
30,0,366,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,2668,21629.83,19955.041772583198
30,0,369,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,2668,14303.69,9091.136474042056
30,0,373,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,2668,20628.38,334.7271656118084
30,0,373,44.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,2668,22228.98,0.0
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,2425,16940.93,0.0
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,2425,13906.08,0.0
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,2425,14223.88,149.8334649179287
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,2425,13857.62,3577.143768014618
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,2425,11281.1,4201.746071125096
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,2425,10002.99,7175.080674466945
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,2425,28613.14,6179.342900268919
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,2425,15246.85,7374.637236849167
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,2425,15196.68,8264.277847322304
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,2425,12098.45,8557.935810198362
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,2425,15582.44,3804.9156973663335
