building_number,lab,labs_c_desktop,non_labs_c_desktop,c_server,wet_lab_instruments,labs_delta_temperature_area,non_labs_delta_temperature_area,delta_temperature,area_sm,direct_consumption,indirect_consumption
18,0,0,86,0.0,0.0,0.0,18120.781075268816,10.112043010752688,1792,34066.53,2292.411169487429
18,0,0,86,0.0,0.0,0.0,15771.306666666664,8.80095238095238,1792,25909.36,1631.0279828677317
18,0,0,86,0.0,0.0,0.0,14373.766881720429,8.021075268817203,1792,19466.09,2255.569283153181
18,0,0,86,0.0,0.0,0.0,7103.4879999999985,3.963999999999999,1792,15055.7,3930.9850043407546
18,0,0,86,0.0,0.0,0.0,8420.85849462365,4.699139784946233,1792,17135.52,8203.516174349907
18,0,0,86,0.0,0.0,0.0,12817.180444444439,7.152444444444441,1792,17391.83,13403.740135770202
18,0,0,86,0.0,0.0,0.0,14403.055483870965,8.037419354838708,1792,18756.38,14978.1489235957
18,0,0,86,0.0,0.0,0.0,12644.96860215054,7.056344086021507,1792,18569.44,15811.166336543693
18,0,0,86,0.0,0.0,0.0,8581.290666666662,4.788666666666664,1792,16230.71,11848.774279208872
18,0,0,86,0.0,0.0,0.0,3723.891612903226,2.0780645161290323,1792,16298.52,7962.037259265045
18,0,0,90,0.0,0.0,0.0,3747.6693333333305,2.0913333333333317,1792,16068.0,4447.665482754032
18,0,0,91,0.0,0.0,0.0,13744.061935483875,7.669677419354841,1792,20430.97,2771.51193334478
22,0,0,280,9.0,0.0,0.0,101737.26473118279,10.112043010752688,10061,96588.84,6928.762636811999
22,0,0,301,9.0,0.0,0.0,88546.38190476189,8.80095238095238,10061,86662.73,8614.582419737022
22,0,0,301,9.0,0.0,0.0,80700.03827956988,8.021075268817203,10061,88725.18,15711.349134173526
22,0,0,302,9.0,0.0,0.0,39881.80399999999,3.963999999999999,10061,74535.23,14100.583205096123
22,0,0,302,9.0,0.0,0.0,47278.04537634405,4.699139784946233,10061,97250.64,38769.964737528186
22,0,0,302,9.0,0.0,0.0,71960.74355555553,7.152444444444441,10061,100709.34,58714.03387367901
22,0,0,302,9.0,0.0,0.0,80864.47612903223,8.037419354838708,10061,106762.79,73362.23061594901
22,0,0,302,9.0,0.0,0.0,70993.87784946238,7.056344086021507,10061,77097.23,48608.05203723413
22,0,0,302,9.0,0.0,0.0,48178.77533333331,4.788666666666664,10061,88570.44,53645.57816658267
22,0,0,302,9.0,0.0,0.0,20907.407096774194,2.0780645161290323,10061,93544.0,27310.9367080542
22,0,0,302,9.0,0.0,0.0,21040.90466666665,2.0913333333333317,10061,115000.0,27913.68618290532
22,0,0,302,9.0,0.0,0.0,77164.62451612906,7.669677419354841,10061,97697.14,18757.00511996171
25,0,0,0,0.0,0.0,0.0,24319.463440860214,10.112043010752688,2405,14284.34,13.37476369640399
25,0,0,0,0.0,0.0,0.0,21166.290476190472,8.80095238095238,2405,11909.18,0.0
25,0,0,0,0.0,0.0,0.0,19290.68602150537,8.021075268817203,2405,12303.99,641.1470123284847
25,0,0,0,0.0,0.0,0.0,9533.419999999998,3.963999999999999,2405,10568.74,90.58859024928849
25,0,0,0,0.0,0.0,0.0,11301.43118279569,4.699139784946233,2405,12024.1,1697.2046253393155
25,0,0,0,0.0,0.0,0.0,17201.62888888888,7.152444444444441,2405,14670.56,3256.415845496321
25,0,0,0,0.0,0.0,0.0,19329.99354838709,8.037419354838708,2405,14752.14,3308.315151034204
25,0,0,0,0.0,0.0,0.0,16970.507526881724,7.056344086021507,2405,12468.55,5339.554768939537
