אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
145330,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145331,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145332,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145333,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145334,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145335,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145336,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145337,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145338,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145339,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
