,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 93,"4,379.07","4,020.72","4,389.57","3,636.38","4,197.71","4,539.85","3,783.42","4,114.24","4,987.61","4,121.31","4,979.60","5,275.11","5,538.48","4,453.45","5,929.27","4,470.25","5,272.55","5,056.80","5,277.31","4,466.02","4,888.42","3,881.37","4,938.20","5,176.12","5,494.51","4,551.25","4,836.78","4,191.78","4,616.74","4,277.40","4,310.11","4,042.52","3,715.75","3,652.94","3,948.22","2,511.51","1,149.63","2,095.60","3,923.48","3,900.29","3,635.55","3,812.65","3,928.74","3,700.00","3,424.18","3,881.30","3,824.12","4,098.14","1,285.42","4,354.45","4,404.08","4,189.57","4,469.72","4,398.95","4,414.03","3,954.66","3,850.05","3,557.93","3,880.97","4,571.89","3,454.98","1,721.87","1,333.88","9,401.49","3,799.63","3,908.95","3,986.30","3,915.76","3,630.12","3,530.56","3,957.93","4,056.06"
Building 93A,"4,362.81","5,046.00","3,188.51","2,632.60","3,836.52","4,373.56","4,837.35","4,449.22","4,105.90","4,045.52","2,612.75","3,602.45","3,782.12","3,375.08","2,873.27","2,306.46","3,913.71","4,873.90","5,073.87","4,378.30","5,104.04","2,913.94","3,520.17","3,434.89","4,430.80","3,453.04","2,905.11","2,393.87","3,954.83","5,435.38","6,718.93","4,786.65","5,108.95","3,353.70","3,340.24","3,811.37","4,465.81","3,395.67","3,519.40","3,322.69","5,101.50","5,274.78","3,045.45","1,511.95","4,634.01","3,327.06","3,023.41","3,487.05","4,285.42","2,644.74","3,831.05","2,477.37","4,231.67","4,357.20","5,764.22","4,147.34","4,159.07","3,300.42","2,706.50","3,162.74","4,041.28","3,521.46","2,664.96",974.60,"4,607.98","2,004.11","7,864.64","5,000.00","8,343.68","3,444.94","2,690.24","1,413.58"
Building 94,"3,103.11","3,065.56","3,282.47","3,848.57","6,285.50","6,456.34","5,938.52","8,233.38","5,380.81","4,595.39","3,306.94","2,984.52","3,261.94","2,620.49","2,936.33","3,384.95","5,224.92","6,397.53","6,589.20","6,551.57","4,813.37","3,441.30","2,729.65","2,442.32","2,767.52","2,017.00","2,182.65","2,027.60","3,608.51","5,074.72","5,149.29","5,781.04","3,905.94","2,906.86","2,436.10","1,940.08","2,278.83","2,114.92","2,349.44","2,879.37","4,789.53","4,806.00","5,475.90","5,587.34","4,077.92","4,640.56","3,152.20","2,698.57","2,908.51","2,190.90","2,347.43","2,649.77","4,761.73","6,166.04","6,355.04","6,760.50","5,763.86","3,540.98","3,080.18","2,378.77","2,712.54","2,197.77","1,848.59","1,744.14","3,439.62","4,602.82","5,485.62","5,542.88","4,868.21","2,890.95","3,000.00","2,735.78"
Building 95,"124,202.20","114,089.95","158,211.00","95,645.89","147,081.75","140,423.53","152,671.50","150,132.84","134,638.57","146,420.16","153,131.88","129,653.39","121,914.26","121,760.91","138,225.71","139,047.61","145,163.11","150,770.76","157,612.11","151,447.57","146,443.01","119,072.36","129,564.25","97,887.90","126,401.48","112,986.86","129,365.00","134,240.70","158,252.92","159,305.14","166,369.92","162,808.86","157,112.75","141,637.58","131,681.40","114,549.91","119,520.00","116,462.69","129,921.93","125,721.85","135,082.77","117,920.00","155,442.51","137,526.78","100,665.33","109,374.51","109,839.30","110,005.12","104,614.92","87,338.34","94,767.41","80,995.69","86,469.52","127,632.84","128,236.90","130,000.00","188,069.61","73,901.05","105,087.47","105,344.25","44,466.28","37,202.33","35,623.74","34,031.73","45,468.69","139,371.68","124,188.98","124,560.43","167,578.49","107,820.44","108,373.05","106,057.22"
Building 96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,000.00","15,000.00","18,452.00","19,715.00","16,454.00","21,525.00","25,580.00","32,412.00","41,000.00",0.00,0.00,0.00,"45,000.00","55,000.00","58,634.00","51,654.00","42,658.00","7,338.88","14,195.95","49,905.56","88,366.00","76,811.78","58,880.26","43,592.10","48,582.23","52,370.90","57,406.63","49,496.88","47,367.99","48,827.19","44,417.87","55,670.85","88,117.96","79,501.36","65,277.57","45,571.89","44,244.31","49,354.85","52,367.49","48,124.09","53,022.86","50,304.60","45,960.96","80,429.65"
Building 97,"19,444.81","15,307.59","13,979.02","10,062.32","11,278.86","11,215.93","13,317.75","12,225.65","9,791.41","10,852.44","11,931.35","20,817.39","30,714.98","24,906.34","16,594.52","8,816.61","11,611.92","11,938.81","14,105.65","12,247.49","11,362.32","10,750.57","15,192.23","25,148.74","30,514.00","24,184.55","24,138.63","15,107.68","12,122.66","11,516.89","12,390.02","10,308.67","8,701.66","8,473.59","9,557.86","16,936.42","26,977.95","13,032.96","12,095.34","9,225.33","11,052.25","10,688.33","10,877.65","9,227.42","8,196.37","9,548.97","17,076.85","22,827.82","24,642.74","19,536.57","18,696.82","16,795.89","11,285.27","10,269.22","10,776.67","9,411.70","9,467.96","8,119.66","10,293.49","21,906.05","25,474.20","19,537.48","11,889.74","5,635.21","6,711.04","8,263.57","8,239.51","8,476.76","8,429.97","7,922.34","7,942.44","8,443.58"
Building 98,"34,351.09","32,726.75","24,133.26","20,099.44","24,896.02","24,297.41","22,428.96","23,037.38","22,186.36","21,913.38","23,204.93","25,886.22","29,880.61","27,241.92","32,056.46","25,472.84","25,479.67","24,713.81","22,576.49","23,650.49","22,081.94","20,948.38","24,367.70","31,367.45","34,799.41","30,093.98","25,684.80","20,808.26","25,763.78","26,303.30","23,734.04","21,252.11","21,815.71","22,454.80","15,094.67","33,778.37","36,255.46","24,042.46","25,814.56","24,371.02","28,981.77","23,974.49","24,057.92","22,973.71","20,324.62","23,424.74","23,856.38","19,576.38","30,655.40","25,172.49","27,167.12","22,821.21","24,424.67","23,721.99","25,919.20","20,434.93","21,682.98","20,207.50","21,326.81","27,686.66","30,203.09","25,086.45","18,213.55","9,498.67","18,985.92","16,421.05","22,055.64","12,127.05","24,757.73","19,783.39","18,511.29","19,766.46"
Building 67,"192,449.89","179,849.67","223,332.78","221,008.93","406,539.58","452,258.33","495,923.40","520,979.85","433,458.79","337,391.20","210,695.34","379,109.12","266,877.00","154,062.00","209,017.00","218,330.89","364,969.10","382,985.62","764,086.90","611,074.00","420,207.48","257,038.47","243,986.89","199,828.55","211,314.09","93,596.90","181,722.93","236,696.02","398,786.01","423,998.00","678,736.85","627,811.00","402,492.16","278,709.53","257,469.16","201,495.53","182,130.87","168,072.87","217,206.79","192,297.22","334,044.00","402,363.66","465,695.33","450,823.73","388,632.81","274,205.79","211,213.41","126,473.60","134,829.50","119,714.05","204,258.30","117,588.44","325,642.89","437,608.48","452,263.00","444,373.82","409,361.52","321,923.31","247,917.18","146,410.42","153,983.93","135,112.68","133,567.92","88,900.56","240,147.56","328,506.89","452,443.30","584,191.30","437,158.34","388,870.71","197,722.52","175,876.78"
Fuel Oil System,456.77,406.91,439.28,7.35,0.00,0.00,0.00,0.00,0.00,0.02,69.25,"1,353.44","10,007.39","8,872.31","1,097.60","1,381.88",172.09,168.84,172.09,172.55,165.37,169.85,"1,123.24","9,622.95","8,312.52","7,873.92","8,662.38","1,716.20",256.99,231.86,357.48,162.28,101.04,0.00,"3,679.70","10,426.46","10,728.22","9,594.89","6,235.68",0.00,0.00,0.00,0.00,0.00,0.00,370.40,702.46,"8,742.09","9,823.17","6,983.89","7,932.33","2,946.47",0.00,0.00,419.76,0.00,0.00,58.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1200 Ton Refrigerator ,"153,564.17","164,720.23","37,946.10",0.05,"156,902.66","137,719.48","103,053.11","134,939.98","156,993.19","44,902.80","171,521.48","124,585.49","109,151.89","111,480.30","115,508.38","227,078.99","212,583.81","294,064.52","212,583.81","312,132.11","253,011.01","123,914.90","198,634.69","86,889.57","88,181.33","75,212.00","130,351.02","171,419.33","177,834.85","208,885.62","38,821.07","41,150.34","70,089.46","138,525.79","165,233.73","244,042.98","236,172.10","258,068.00","263,083.07","225,312.26","88,151.26","105,688.67","43,526.14","35,567.94","27,391.71","107,308.38","17,033.02","1,265.22","15,126.14",132.35,489.47,242.24,0.38,0.06,"49,652.06","33,134.69","39,653.38","14,787.90",0.00,0.13,0.00,0.00,0.00,"38,228.83","72,379.87","40,362.37","25,935.23",14.66,"31,258.62","8,953.79","402,174.59","280,680.54"
