T.R,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Entrance Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 74,1369.79,1158.05,625.54,2554.46,3433.79,5497.11,5982.53,5686.44,5877.62,3347.03,1019.2,477.44,1360.69,930.44,1008.54,1983.4,3569.58,5817.27,6441.4,4905.4,3938.56,1755.35,1098.87,1007.21,453.8,861.28,302.65,10.6,1739.53,2256.87,6523.85,6309.01,6185.03,3000.25,1163.67,251.62
Building 90,1714.82,2990.95,5391.91,6565.88,20509.51,30273.46,30183.65,23602.96,14409.83,14521.99,6204.64,2692.61,2037.18,2411.9,5386.34,5562.63,18165.55,29502.75,34124.08,29764.48,24039.78,11132.81,11076.85,2161.58,2016.19,0.07,660.09,207.91,5645.65,7287.83,17481.45,20165.48,14652.02,3740.29,1953.64,0.01
Building 92,298.05,519.85,937.16,1141.21,3564.74,5261.8,5246.19,4102.41,2504.56,2524.05,1078.42,468,354.08,419.21,936.19,966.84,3157.34,5127.85,5931.08,5173.34,4178.33,1934.98,1925.26,375.7,350.43,0.01,114.73,36.14,981.27,1266.69,3038.43,3504.94,2546.66,650.1,339.56,0
Building 93,130.26,227.2,409.58,498.75,1557.92,2299.6,2292.78,1792.9,1094.59,1103.11,471.31,204.53,154.75,183.21,409.15,422.54,1379.87,2241.06,2592.1,2260.94,1826.09,845.66,841.41,164.2,153.15,0.01,50.14,15.79,428.85,553.59,1327.91,1531.79,1112.98,284.12,148.4,0
Building 93A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 95,4413.14,14427.15,25919.63,25334.47,38753.43,40563.85,31685.24,12856.64,40394.3,28517.63,18645.58,3281.52,3763.47,13359.41,24039.39,24184.23,37891.14,40556.52,32404.03,12256.53,39210.18,19215.38,19831.2,3017.57,2333.21,2540.34,3757.65,4130.73,3944.28,3962.75,11304.98,11657.88,36161.19,9653.15,5747.07,2042.76
Building 96,5000,6000,0,10000,35000,51365,57356,0,25000,12373.96,20108.23,18819.8,5527.1,5154.77,5852.24,6366.98,37286.4,48425.97,58189.06,59363.71,42784.45,9484.59,24196.76,19986.76,7177.66,6900.46,7551.46,3824.5,11297.72,12416.84,32493.14,36519.15,34831.35,28705.02,14717.74,2747.86
Building 97,1213.24,7877.92,5650.72,6053.66,4419.64,4882.52,4946.84,5288.12,3730.36,13889.62,2651.43,2603.28,1144.68,4833.66,5705.21,6273.99,3362.07,4309.71,4681.32,4464.51,3781.35,3725.11,2205.19,2865.6,8.15,41.25,186.09,208.81,978.52,1232.69,2774.32,3086.11,2962.47,1828.2,1582.54,430.92
Building 98,2371.75,15400.49,11046.55,11834.25,8639.92,9544.81,9670.55,10337.71,7292.45,27152.73,5183.25,5089.14,2237.73,9449.28,11153.08,12264.97,6572.48,8425.02,9151.47,8727.64,7392.13,7282.18,4310.91,5601.93,15.94,80.64,363.8,408.19,1912.9,2409.78,5423.51,6033.01,5791.3,3573.93,3093.69,842.4
Building M5-M7,4644.98,4857.76,2915.05,4318.4,0,0,0,0,0,13483.04,7831.14,5963.48,4280.93,4898.62,5252.07,6239.76,8813.35,16385.09,0,0,710,12841.47,7522.34,5864.47,4958.04,4036.18,5299.4,5084.04,0,0,18029.19,0,0,12159.8,7144.36,2100.46
Building M10,0,489,1282.03,2765,12439.06231,26083.83,28229.36,10058.12,5514.41,5680.42,1807.78,243.33,0,0,0,706.93,24431.42,17481.95,28998.03,6366.38,5943.58,3813.36,1798.66,509.69,0,0,0,0,2427.93,2868.31,5814.34,7474.95,6886.18,3292.01,1527.45,0
Building M9,7694.69,10885.33,15661.18,34568,41356,38875.61,50348.55,55113.2,49030.12,35734.13,18541.24,11510.22,8552.2,8270.49,9729.41,32365.84,35246.88,36313.76,46647.41,49854.66,36269.33,30849.67,15209.05,10604.4,8277.21,8877.76,9241.59,15490.66,18787.84,18929.7,45880.61,56782.21,40868.63,42308.05,15456.33,3893.2
Building M8,11348.2,13886.85,15193.79,30597,32593,46380.85,40831.27,42567.48,33116.34,50499.68,25937.04,11962.14,7912.93,9755.8,11473.67,26066.82,32416.97,61717.14,41673.76,42416.85,32528.19,49735.09,23993.06,11400.86,7421.63,8410.1,8706.35,15658.73,11508.01,12775.05,68428.85,36556.2,36763.2,43731.26,22791.94,4675.28
