,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 60,17153.66,13810.52,15275.9,13615.63,13213.47,14154.29,13871.47,14699.47,12421.76,10752.11,11078.72,12874.04,13684.82,14084.12,14776.87,12775.92,14681.02,13675.18,13607.9,13434,12668.82,10412.71,12408.27,14287.49,13484.87,12464.44,12304.11,11081.14,12504.73,12748.27,14338.32,12765.61,11728.34,12436.84,12975.27,13044.89,13969.37,11617.82,11912.74,10737.09,13063.34,12762.46,13108.4,12878.07,11164.83,17041.54,17609.05,18411.32,19760.68,18089.87,18174.49,15174.85,17348.29,16841.84,18532.26,14660.39,15254.51,13427.93,12914,16471.27,18360.72,16085.64,12897.99,8986.13,14412.42,15859.09,17000.11,14762.69,14668.5,14410.39,14151.34,15541.54
Building 62,77615.56,67884.95,73580.71,63714.22,67270.83,65462.44,65705.26,68416.51,64360.76,67473.95,65610.87,70433.41,71469.41,65734.24,70392.12,62414.01,66241.22,66953.84,68160.12,71308.5,69445.94,63768.33,62280.3,68078.04,68696.67,62408.45,65895.42,60417.33,67170.04,69527.68,74042.66,75221.6,68067.85,55397.32,54022.23,54970.51,55961.24,48588.8,51079.74,47993.09,59582.84,57163.57,62852.53,60588.05,41397.56,42254,53546,56986,55887,49217,53655,45448,54931,55287,57494,60457,59102,44588,57920,63768,56000,50000,29592,25301,31260,32414,36049,50760,59000,47131,57463.16,56604.13
Building 63,59932.96,50318.8,52127.17,46545.61,49423.77,52724.49,54747.66,55833.47,49667.86,51125.14,45197.01,47628.94,49112.9,43483.11,47365.21,44258.44,52358.64,59254.34,64273.45,68492.3,69463.77,59540,57472.2,54297.25,53823.2,52863.21,66805.03,58460.97,66331.98,68192.81,71373.17,76360.41,67932.97,64658.98,48000,59972.97,63279.94,56090.44,57553.03,52729.19,59303.12,61018.45,70612.4,77815.37,57094.27,63544,51779,54195,46787,46365,48338,41250,47815,47464,50004,77252,68040,65833,44822,51537,53777,48197,50177,39392,43862,43023,46283,45218,68000,44275,47742.62,45170.14
Building 64,15206.02,11507.81,14505.69,15816.59,20928.58,23082.33,22310.18,24382.54,20972.7,21712.8,22073.68,29042.39,31409.99,28506.96,29542.63,27211.97,33379.85,32291.61,33450.19,33842.29,33199.37,30384.37,30667.08,35379.39,37066.92,32600.98,33468.33,29931.68,33663.93,33301.47,36648.9,35503.6,32020.66,29463.99,32177.52,34972.62,33516.6,31753.43,34977.7,32644.51,35830.78,34681.11,37336.31,37296.42,30537.27,34491.49,35291.85,37798.65,38169.32,34549.57,40109.96,33379.28,37505.13,29185.09,49897.41,44783.87,41380.44,39240.88,43379.41,47826.59,45386.84,39493.79,37528.77,37804.05,43196.7,46078.77,48225.08,48985.47,47964.49,49498.61,49365.23,47801.36
Building 65,14046.86,12460.01,10268.19,8810.44,12775.58,14445.52,17059.12,17277.99,13202.39,12452.1,9544.82,13695.7,14974.01,12111.28,9659.26,8407.73,13577.34,18123.04,18031.82,17756.13,17056.3,8260.58,8672.62,10734.81,12731.45,10608.36,8716.92,6875.91,13000,13709.46,14511.96,12615.09,10277.13,7435.93,8228.16,5500.14,42849.12,27307.52,24821.36,21030.39,12086.54,17416.76,18982.18,18745.32,12711.61,8174.52,9774.65,10657,11572,9863,11597,11654,11568,17995.13,19896.74,13092.35,13020.17,10687,10563,10323,11758,13521,8654,7893.14,5536.19,7496,8975.41,8985.45,7469.06,4805,9976.7,9805.72
Building 70,148134,191558,116520.88,97500.37,227138.09,241302.08,231447.98,222073.3,200317.1,211593.63,227727.19,238177.9,239342.24,215619.34,191610.39,203947.39,211588.09,231072.9,243648.7,231814.96,224051.69,182315.15,224775.45,236879.67,267106.93,224137.55,238647.28,192503.51,218807.78,234558.73,248778.87,229894.91,197482.75,196857.21,218072.38,220390.28,237956.85,200723.65,210074.53,186776.29,230276.01,221747.84,246675.87,172848.16,234663.19,232020.83,215075.13,222233.45,233120.13,195840.44,212507.96,178449.35,215694.29,216864.21,221734.76,193427.55,188106.28,190369.18,218081.53,254822.94,249255.88,208522.36,146861.44,80548.63,126923.65,169808.73,179228,180781.8,153167.95,140000,160000,190083.12
Building 71,113787.45,92728.19,101698.58,84030.21,99444.18,99775.88,93982.11,90958.32,77505.17,85687.11,91528.97,101326.29,111464.02,103332.42,83659.26,79366,103677.54,97710.49,96660.87,91136.35,92746.9,68955.58,94281.45,107311.73,118547.92,100794.77,96817.15,79918.6,100645.56,99129.44,100210.34,88470.4,80319.53,48283.03,120078.95,93994.57,116595.32,91144.02,84935.18,74998.25,93126.74,89165.3,94935.73,75212.15,70388.66,88824,89484.07,100189.58,107945.88,86543.2,90561.58,74736.58,90220.35,88779.41,97015.03,80408.51,82363.18,69070.18,79346.31,108854.24,120489.44,98006.82,74908.29,48142.2,71294.71,80834.77,83428.17,78884.38,67084.03,50416.39,75012.83,78947.36
Building 72,147393.34,137683.75,144542.16,109321.26,146849.47,151882.34,147418.59,135185.76,117429.4,128424.47,145359.49,153093.35,154375.9,140002.38,141488.9,123639.26,154151.95,161206.45,154891.3,146396.25,139868.66,108315.82,140337.47,151073.49,163074.14,138792.89,147009.26,121171.54,157806.32,157540.57,164409.6,157832.07,134062.66,110197.78,152375.34,147188.22,154506.51,127252.93,131595.82,110876.93,144647.45,142606.86,150462.24,134199.32,119802.62,145274.99,134463.94,142816.05,151299.96,133586.89,142657.08,125562.74,142915,144685.7,149038.9,123563.26,123779.5,112374.5,126403.52,144331.84,150617.94,134410.03,95247.1,60390.06,89308.44,99040.92,104126.83,113080.47,108484.77,93019.36,89055.46,79720.14
Entrance Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9176.41,7972.17,4379.49,6139.81,7060.53,6314.8,5585.28,4368.44,5944.16,7412.15,9436.29,11898.75,8810.36,7348.2,5279.46,5027.67,8664.75,7084.45,5938.5,4316.41,6341.43,6643.88,8040.37,6919.87,8062.5,6538.2,4286.22,4858.14
Building 74,56864.64,48851.98,52865.7,46109.75,57573.41,60880.93,60952.75,55745.45,48485.22,55421.48,56010.59,57218.09,55571.32,49415.96,49872.44,43469.02,55678.67,57391.86,59399.44,52509.25,54922.29,43797.46,55397.55,55141.43,59235.23,58652.72,58168.51,49805.32,57483.6,52386.35,56804.05,55000,54594.17,50663.85,59964.37,60443.94,64453.77,54887.33,61636.28,55278.2,69989.28,68369.88,68932.18,63235.28,50944.9,40526.55,49518.41,53303.47,57074.41,45343.53,61550.85,43362.13,53600.88,56308.25,56510.99,47472.06,47148.67,40383.17,44277.24,49489.85,54917.93,47572.19,34801.03,19090.84,30368.11,38452.68,40867.96,43160.39,37633.33,28545.76,35343.67,35784.35
Building 90,94662.54,87277.53,67066.34,58494.2,88539.97,96513.74,97159.89,76752.55,59107.9,60138.61,85170.41,91760.97,97547.42,75310.18,81289.66,68494.85,96643.55,98012.92,103576.5,85093.71,71162.21,53900.64,89927.27,107575.44,104714.54,86888.53,82041.73,74399.84,99020.57,101974.63,100063.39,77477.44,58697.33,65960.36,78529.54,76548.55,76390.62,49208.95,66954.39,60799.61,84886.5,89687.41,83130.43,63341.81,46322.22,63467.46,70242.62,84570.86,88198.4,66716.61,64739.16,79615.91,82628.53,80378.02,77376.6,62407.85,61056.21,41817.55,50478.65,60836.28,74792.11,57519.07,34605.16,21516.68,27835.17,43930.8,43525.68,41711.27,37470.01,30266.89,28715.04,30502.32
Building 92,9439.48,8082.77,9199.43,7371.35,8934.12,11453.34,10522.93,9044.73,6547.12,7332.39,11998.12,14645.12,11316.64,9291.63,8542.56,6491.83,10663.36,10360.51,9881.97,8508.54,8014.35,5439.4,11289.39,11502.07,11005.78,8864.19,8658.39,7700.58,10285.47,9490.16,8736.82,6778.27,7233.72,6902.64,11007.16,11433.11,11536.78,8890.73,10105.02,8359.74,10609.4,10087.12,8816.58,7607.64,6195.27,9363.9,11420.63,11560.61,11164.48,7616.26,10398.25,11727.74,7582.47,6439.63,6108.51,14536.59,13863.3,12774.96,17670.46,19238.27,18736.04,15319.72,10305.21,4409.16,5824.45,8049.12,6422.82,6013.47,6180.73,5046.06,5123.05,7585.06
Building 93,4379.07,4020.72,4389.57,3636.38,4197.71,4539.85,3783.42,4114.24,4987.61,4121.31,4979.6,5275.11,5538.48,4453.45,5929.27,4470.25,5272.55,5056.8,5277.31,4466.02,4888.42,3881.37,4938.2,5176.12,5494.51,4551.25,4836.78,4191.78,4616.74,4277.4,4310.11,4042.52,3715.75,3652.94,3948.22,2511.51,1149.63,2095.6,3923.48,3900.29,3635.55,3812.65,3928.74,3700,3424.18,3881.3,3824.12,4098.14,1285.42,4354.45,4404.08,4189.57,4469.72,4398.95,4414.03,3954.66,3850.05,3557.93,3880.97,4571.89,3454.98,1721.87,1333.88,9401.49,3799.63,3908.95,3986.3,3915.76,3630.12,3530.56,3957.93,4056.06
Building 93A,4362.81,5046,3188.51,2632.6,3836.52,4373.56,4837.35,4449.22,4105.9,4045.52,2612.75,3602.45,3782.12,3375.08,2873.27,2306.46,3913.71,4873.9,5073.87,4378.3,5104.04,2913.94,3520.17,3434.89,4430.8,3453.04,2905.11,2393.87,3954.83,5435.38,6718.93,4786.65,5108.95,3353.7,3340.24,3811.37,4465.81,3395.67,3519.4,3322.69,5101.5,5274.78,3045.45,1511.95,4634.01,3327.06,3023.41,3487.05,4285.42,2644.74,3831.05,2477.37,4231.67,4357.2,5764.22,4147.34,4159.07,3300.42,2706.5,3162.74,4041.28,3521.46,2664.96,974.6,4607.98,2004.11,7864.64,5000,8343.68,3444.94,2690.24,1413.58
Building 94,3103.11,3065.56,3282.47,3848.57,6285.5,6456.34,5938.52,8233.38,5380.81,4595.39,3306.94,2984.52,3261.94,2620.49,2936.33,3384.95,5224.92,6397.53,6589.2,6551.57,4813.37,3441.3,2729.65,2442.32,2767.52,2017,2182.65,2027.6,3608.51,5074.72,5149.29,5781.04,3905.94,2906.86,2436.1,1940.08,2278.83,2114.92,2349.44,2879.37,4789.53,4806,5475.9,5587.34,4077.92,4640.56,3152.2,2698.57,2908.51,2190.9,2347.43,2649.77,4761.73,6166.04,6355.04,6760.5,5763.86,3540.98,3080.18,2378.77,2712.54,2197.77,1848.59,1744.14,3439.62,4602.82,5485.62,5542.88,4868.21,2890.95,3000,2735.78
Building 95,124202.2,114089.95,158211,95645.89,147081.75,140423.53,152671.5,150132.84,134638.57,146420.16,153131.88,129653.39,121914.26,121760.91,138225.71,139047.61,145163.11,150770.76,157612.11,151447.57,146443.01,119072.36,129564.25,97887.9,126401.48,112986.86,129365,134240.7,158252.92,159305.14,166369.92,162808.86,157112.75,141637.58,131681.4,114549.91,119520,116462.69,129921.93,125721.85,135082.77,117920,155442.51,137526.78,100665.33,109374.51,109839.3,110005.12,104614.92,87338.34,94767.41,80995.69,86469.52,127632.84,128236.9,130000,188069.61,73901.05,105087.47,105344.25,44466.28,37202.33,35623.74,34031.73,45468.69,139371.68,124188.98,124560.43,167578.49,107820.44,108373.05,106057.22
Building 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,18452,19715,16454,21525,25580,32412,41000,0,0,0,45000,55000,58634,51654,42658,7338.88,14195.95,49905.56,88366,76811.78,58880.26,43592.1,48582.23,52370.9,57406.63,49496.88,47367.99,48827.19,44417.87,55670.85,88117.96,79501.36,65277.57,45571.89,44244.31,49354.85,52367.49,48124.09,53022.86,50304.6,45960.96,80429.65
Building 97,19444.81,15307.59,13979.02,10062.32,11278.86,11215.93,13317.75,12225.65,9791.41,10852.44,11931.35,20817.39,30714.98,24906.34,16594.52,8816.61,11611.92,11938.81,14105.65,12247.49,11362.32,10750.57,15192.23,25148.74,30514,24184.55,24138.63,15107.68,12122.66,11516.89,12390.02,10308.67,8701.66,8473.59,9557.86,16936.42,26977.95,13032.96,12095.34,9225.33,11052.25,10688.33,10877.65,9227.42,8196.37,9548.97,17076.85,22827.82,24642.74,19536.57,18696.82,16795.89,11285.27,10269.22,10776.67,9411.7,9467.96,8119.66,10293.49,21906.05,25474.2,19537.48,11889.74,5635.21,6711.04,8263.57,8239.51,8476.76,8429.97,7922.34,7942.44,8443.58
